ToPad;Continent;Country;Gender;Month;Number of Records;Sub type;Padded;Total;Type of Moving;viz
49;Asia;Malaysia;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Malaysia;Female;June;1;First time for travelling;49;13;By themselves;Region
49;Asia;Myanmar;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Myanmar;Female;June;1;First time for travelling;49;0;By themselves;Region
49;Asia;Oman;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Oman;Female;June;1;First time for travelling;49;0;By themselves;Region
49;Asia;Other countries in Asia;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Other countries in Asia;Female;June;1;First time for travelling;49;4;By themselves;Region
49;Asia;Other countries in Middle East;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Other countries in Middle East;Female;June;1;First time for travelling;49;3;By themselves;Region
49;Asia;Philippines;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Philippines;Female;June;1;First time for travelling;49;0;By themselves;Region
49;Asia;Quata;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Quata;Female;June;1;First time for travelling;49;1;By themselves;Region
49;Asia;Saudi Arabia;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Saudi Arabia;Female;June;1;First time for travelling;49;0;By themselves;Region
49;Asia;Singapore;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Singapore;Female;June;1;First time for travelling;49;0;By themselves;Region
49;Asia;South Korea;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;South Korea;Female;June;1;First time for travelling;49;1;By themselves;Region
49;Asia;Sudan;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Sudan;Female;June;1;First time for travelling;49;0;By themselves;Region
49;Asia;Taiwan;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Taiwan;Female;June;1;First time for travelling;49;7;By themselves;Region
49;Asia;Turkey;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Turkey;Female;June;1;First time for travelling;49;0;By themselves;Region
49;Asia;United Arab Emirate;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;United Arab Emirate;Female;June;1;First time for travelling;49;13;By themselves;Region
49;Asia;Vietnam;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Vietnam;Female;June;1;First time for travelling;49;0;By themselves;Region
49;Asia;Brunai;Female;March;1;First time for travelling;49;9;By themselves;Region
49;Asia;Cambodia;Female;March;1;First time for travelling;49;0;By themselves;Region
49;Asia;Hongkong;Female;March;1;First time for travelling;49;41;By themselves;Region
49;Asia;Indonesia;Female;March;1;First time for travelling;49;0;By themselves;Region
49;Asia;Isarel;Female;March;1;First time for travelling;49;0;By themselves;Region
49;Asia;Japan;Female;March;1;First time for travelling;49;8;By themselves;Region
49;Asia;Kuweit;Female;March;1;First time for travelling;49;2;By themselves;Region
